Name,Code,All usual residents,Households
LOUGHINISLAND,N11000286, 218 , 66 
MAGHERA (DOWN LGD),N11000287, 211 , 73 
NEWCASTLE,N11000288, 7743 , 3224 
RAHOLP,N11000289, 315 , 101 
SAINTFIELD,N11000290, 3406 , 1322 
SAUL,N11000291, 97 , 35 
SEAFORDE,N11000292, 263 , 111 
SHRIGLEY,N11000293, 437 , 175 
STRANGFORD,N11000294, 495 , 232 
THE SPA,N11000295, 583 , 203 
AGHAGINDUFF / CABRAGH,N11000296, 374 , 129 
ANNAGHMORE (DUNGANNON LGD),N11000297, 870 , 279 
AUGHER,N11000298, 305 , 132 
AUGHNACLOY,N11000299, 1041 , 402 
BALLYGAWLEY,N11000300, 711 , 271 
BALLYNAKILLY,N11000301, 243 , 91 
BENBURB,N11000302, 409 , 144 
BROCKAGH / MOUNTJOY,N11000303, 299 , 92 
CALEDON,N11000304, 468 , 192 
CAPPAGH,N11000305, 53 , 25 
CASTLECAULFIELD,N11000308, 659 , 258 
CLOGHER,N11000309, 709 , 272 
CLONMORE,N11000310, 193 , 60 
COALISLAND,N11000311, 5700 , 2055 
DERNAGH / CLONOE,N11000312, 308 , 109 
DERRYLEE,N11000313, 64 , 24 
DONAGHMORE,N11000314, 1122 , 403 
DUNGANNON,N11000315, 14332 , 5386 
EDENDORK,N11000317, 230 , 85 
EGLISH (DUNGANNON LGD),N11000318, 492 , 143 
FIVEMILETOWN,N11000319, 1243 , 552 
GALBALLY,N11000320, 179 , 71 
GRANVILLE,N11000321, 300 , 115 
KILLEEN (DUNGANNON LGD),N11000322, 407 , 144 
KILLYMAN,N11000323, 682 , 257 
MOY,N11000324, 1603 , 591 
NEWMILLS,N11000325, 556 , 223 
TAMNAMORE,N11000326, 269 , 109 
THE BUSH,N11000327, 484 , 181 
ARNEY / SKEA,N11000330, 125 , 45 
BALLINAMALLARD,N11000331, 1432 , 561 
BALLYCASSIDY / LARAGH / TRORY,N11000332, 363 , 145 
BELCOO / HOLYWELL,N11000333, 540 , 213 
BELLANALECK,N11000334, 532 , 190 
BELLEEK (FERMANAGH LGD),N11000335, 904 , 380 
BROOKEBOROUGH,N11000336, 452 , 181 
CLABBY,N11000341, 268 , 100 
DERRYGONNELLY,N11000342, 678 , 266 
DERRYLIN,N11000343, 640 , 249 
DONAGH,N11000344, 179 , 66 
EDERNEY,N11000345, 587 , 244 
ENNISKILLEN,N11000346, 13790 , 5729 
FLORENCECOURT / DRUMLAGHY,N11000347, 91 , 41 
GARRISON,N11000348, 351 , 151 
IRVINESTOWN,N11000349, 2264 , 954 
KESH,N11000350, 1036 , 444 
KILLADEAS,N11000351, 63 , 25 
KINAWLEY,N11000353, 141 , 55 
LACK,N11000354, 111 , 50 
LETTERBREEN,N11000355, 68 , 26 
LISBELLAW,N11000356, 1102 , 407 
LISNARICK,N11000357, 238 , 94 
LISNASKEA,N11000358, 2960 , 1152 
MAGHERAVEELY,N11000359, 66 , 26 
MAGUIRESBRIDGE,N11000360, 1038 , 395 
MONEA,N11000361, 206 , 76 
NEWTOWNBUTLER,N11000363, 987 , 411 
PETTIGOE / TULLYHOMMON,N11000364, 63 , 31 
ROSSLEA,N11000365, 528 , 221 
SPRINGFIELD,N11000366, 73 , 27 
