Settlement,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
Portree,"2,318","1,092","1,226","2,240",78,36,210,11.03
Portsoy,"1,752",847,905,"1,714",38,13,73,23.89
Potterton,899,469,430,899,-,1,42,21.55
Prestonpans,"9,140","4,409","4,731","9,140",-,41,193,47.25
Quarrier's Village,588,271,317,479,109,4,45,12.97
Quarter,755,357,398,739,16,8,20,37.41
Queensferry,"9,026","4,385","4,641","9,024",2,100,286,31.56
Ratho,"1,634",795,839,"1,634",-,23,55,29.67
Ratho Station,"1,074",522,552,"1,074",-,4,714,1.5
Rigside,790,382,408,790,-,3,23,34.27
Rosehearty,"1,322",635,687,"1,321",1,6,49,27.15
Rosemarkie,680,307,373,634,46,22,27,25.51
Rosewell,"1,566",756,810,"1,548",18,7,57,27.65
Roslin,"1,642",783,859,"1,642",-,20,43,38.35
Rosneath,849,396,453,844,5,4,31,27.8
Rothes,"1,252",594,658,"1,247",5,13,54,23
Rothesay,"4,637","2,181","2,456","4,574",63,53,235,19.71
Rothienorman,913,458,455,913,-,9,31,29.57
Saline,"1,097",550,547,"1,097",-,16,43,25.73
Salsburgh,"1,371",670,701,"1,371",-,8,34,40.25
Sandhaven,824,421,403,824,-,5,22,38.05
Sanquhar,"2,021",974,"1,047","1,969",52,11,104,19.35
Scalloway,"1,159",592,567,"1,143",16,11,57,20.18
Seafield,"1,380",668,712,"1,380",-,6,41,33.45
Selkirk,"5,784","2,814","2,970","5,711",73,72,240,24.11
Shieldhill,"2,523","1,241","1,282","2,523",-,9,55,45.66
Shotts,"8,801","4,534","4,267","8,224",577,16,266,33.05
Slamannan,"1,359",657,702,"1,355",4,-,71,19.14
Springfield,931,452,479,931,-,10,25,37.79
Springside,"1,259",587,672,"1,259",-,1,38,33.32
St Andrews,"16,870","7,693","9,177","13,109","3,761",212,491,34.38
St Boswells,"1,494",702,792,"1,493",1,21,65,22.93
St Combs,646,308,338,644,2,10,20,31.69
St Cyrus,"1,071",537,534,"1,068",3,14,44,24.49
St Fergus,742,384,358,742,-,4,34,22.07
St Madoes and Glencarse,"1,181",577,604,"1,176",5,18,81,14.52
St Monans,"1,265",648,617,"1,265",-,17,36,35.28
