Postcode,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
ML4 1,"7,160","3,439","3,721","7,058",102,10,390,18.37
ML4 2,"10,710","5,181","5,529","10,710",-,20,333,32.16
ML4 3,"5,121","2,511","2,610","5,121",-,11,421,12.16
ML5 1,"7,341","3,476","3,865","7,191",150,33,166,44.32
ML5 2,"9,289","4,460","4,829","9,267",22,18,672,13.82
ML5 3,"5,741","2,912","2,829","5,724",17,9,191,30.11
ML5 4,"11,712","5,609","6,103","11,608",104,20,396,29.56
ML5 5,"12,691","5,993","6,698","12,573",118,16,238,53.23
ML6 0,"7,958","3,890","4,068","7,945",13,15,"1,325",6.01
ML6 6,"9,372","4,493","4,879","9,339",33,18,241,38.86
ML6 7 (part) North Lanarkshire,"10,386","4,971","5,415","10,248",138,21,"4,557",2.28
ML6 8,"15,219","7,364","7,855","15,129",90,30,"4,049",3.76
ML6 9,"12,313","5,854","6,459","12,313",-,38,519,23.71
ML7 4,"7,133","3,710","3,423","6,556",577,16,"2,310",3.09
ML7 5 (part) North Lanarkshire,"7,485","3,692","3,793","7,485",-,24,"4,668",1.6
ML7 5 (part) West Lothian,"1,042",521,521,"1,042",-,-,21,50.23
ML8 4,"7,837","3,734","4,103","7,752",85,22,"3,658",2.14
ML8 5 (part) South Lanarkshire,"11,403","5,573","5,830","11,329",74,44,"4,353",2.62
ML9 1,"7,038","3,312","3,726","7,006",32,11,453,15.53
ML9 2,"8,130","3,814","4,316","8,083",47,24,"1,121",7.25
ML9 3,"8,156","3,929","4,227","7,965",191,25,"3,695",2.21
PA1 1,"6,007","3,112","2,895","5,910",97,14,148,40.54
PA1 2,"7,739","3,913","3,826","7,429",310,32,311,24.9
PA1 3,"8,507","4,041","4,466","8,468",39,35,301,28.27
PA10 2 (part) Renfrewshire,"3,821","1,884","1,937","3,811",10,24,"2,068",1.85
PA11 3 (part) Inverclyde,772,364,408,663,109,10,"1,526",0.51
PA11 3 (part) Renfrewshire,"5,141","2,543","2,598","5,124",17,70,"1,759",2.92
PA12 4,"3,414","1,675","1,739","3,406",8,33,"5,891",0.58
PA13 4 (part) Inverclyde,"4,492","2,138","2,354","4,481",11,131,"7,055",0.64
PA14 5,"8,510","4,132","4,378","8,455",55,19,279,30.55
PA14 6 (part) Inverclyde,"6,904","3,278","3,626","6,860",44,12,182,37.87
PA14 6 (part) Renfrewshire,"1,089",544,545,"1,088",1,12,"1,025",1.06
PA15 1,"2,172","1,040","1,132","2,052",120,1,90,24.25
PA15 2,"4,963","2,318","2,645","4,940",23,13,167,29.8
PA15 3,"3,169","1,553","1,616","3,169",-,13,74,42.8
PA15 4,"7,246","3,487","3,759","7,178",68,20,146,49.64
PA16 0,"10,583","5,081","5,502","10,447",136,52,"2,700",3.92
PA16 7,"7,274","3,415","3,859","7,030",244,24,215,33.76
PA16 8,"7,073","3,280","3,793","6,907",166,38,221,32.04
PA16 9,"4,202","2,085","2,117","3,981",221,12,"2,921",1.44
PA17 5,"2,234","1,115","1,119","2,233",1,26,"2,303",0.97
PA18 6,"2,592","1,256","1,336","2,592",-,16,91,28.38
PA19 1,"11,533","5,572","5,961","11,506",27,57,377,30.6
PA2 0,"6,741","3,162","3,579","6,682",59,24,176,38.25
PA2 6,"9,759","4,532","5,227","9,610",149,58,235,41.61
PA2 7,"6,962","3,332","3,630","6,750",212,24,273,25.54
PA2 8 (part) Renfrewshire,"9,056","4,296","4,760","8,832",224,29,"2,495",3.63
PA2 9,"8,096","3,846","4,250","7,945",151,33,205,39.51
PA20 0,"3,553","1,689","1,864","3,528",25,41,"8,079",0.44
PA20 9,"2,945","1,394","1,551","2,895",50,40,"4,305",0.68
PA21 2,777,400,377,764,13,17,"13,473",0.06
PA22 3,287,144,143,282,5,6,"14,303",0.02
PA23 7,"5,510","2,664","2,846","5,421",89,63,"8,923",0.62
PA23 8,"7,110","3,339","3,771","6,897",213,82,"19,966",0.36
PA24 8,429,232,197,428,1,23,"8,905",0.05
PA25 8,78,36,42,71,7,2,"2,107",0.04
PA26 8,143,72,71,140,3,3,"12,120",0.01
PA27 8,674,322,352,674,-,12,"10,700",0.06
PA28 6,"7,364","3,584","3,780","7,277",87,95,"47,584",0.15
PA29 6,"2,150","1,073","1,077","2,140",10,39,"46,915",0.05
PA3 1,"4,029","1,848","2,181","4,029",-,6,192,21.02
PA3 2,"4,121","2,085","2,036","4,041",80,4,491,8.4
PA3 3,"9,322","4,414","4,908","9,322",-,22,"1,244",7.49
PA3 4,"6,117","2,826","3,291","6,062",55,18,147,41.5
PA30 8,"1,464",723,741,"1,447",17,30,"5,911",0.25
PA31 8,"4,949","2,417","2,532","4,899",50,121,"47,975",0.1
PA32 8,"1,305",655,650,"1,270",35,21,"25,951",0.05
PA33 1,754,376,378,698,56,16,"35,502",0.02
PA34 4,"7,391","3,601","3,790","7,258",133,116,"32,109",0.23
PA34 5,"3,301","1,626","1,675","3,161",140,39,"3,034",1.09
PA35 1,"1,295",632,663,"1,265",30,23,"32,609",0.04
PA36 4,52,28,24,51,1,1,"23,830",0
PA37 1,"2,854","1,388","1,466","2,783",71,58,"18,388",0.16
